VIEWPOINT_ID,COUNTLINE_ID,NAME,LATITUDE_START_LINE,LONGITUDE_START_LINE,LATITUDE_END_LINE,LONGITUDE_END_LINE,DIRECTION_IN,DIRECTION_OUT,EARLIEST,LATEST
7475,47847,Luxford St road upper,-41.319916,174.775421,-41.319893,174.775391,,SW,2023-10-31,2026-08-05
7475,47848,Luxford St road lower,-41.319767,174.775375,-41.319855,174.775375,W,E,2023-10-31,2026-08-05
7475,47849,Luxford St crossing upper,-41.31987,174.775421,-41.319885,174.775391,NW,SE,2023-10-31,2026-08-05
7475,47850,Luxford St crossing lower,-41.319778,174.775421,-41.319767,174.775375,N,S,2023-10-31,2026-08-05
7475,47851,Adelaide Rd road,-41.319889,174.775345,-41.319885,174.775269,N,S,2023-10-31,2026-08-05
7475,47852,Adelaide Rd road northbound,-41.319885,174.775269,-41.319881,174.775238,N,,2023-10-31,2026-08-05
7475,47853,Adelaide Rd crossing,-41.319881,174.775253,-41.319851,174.775238,E,W,2023-10-31,2026-08-05
7479,47869,Kent Terrace road,-41.294205,174.783981,-41.294178,174.78392,,SW,2023-10-31,2026-08-05
7480,47908,Kent Terrace cyclelanes,-41.29422,174.783859,-41.294209,174.783829,NE,SW,2023-10-31,2026-08-05
7480,47909,Kent Terrace path,-41.29427,174.783981,-41.294254,174.783966,NE,SW,2023-10-31,2026-08-05
7480,47910,Kent Terrace crossing,-41.294167,174.783936,-41.294239,174.78389,NW,SE,2023-10-31,2026-08-05
7481,47925,Dixon St path LHS,-41.292412,174.778519,-41.2924,174.778503,NE,SW,2023-10-31,2026-08-05
7481,47926,Dixon St road,-41.292427,174.77861,-41.292385,174.778641,,NW,2023-10-31,2026-08-05
7481,47927,Manners St path LHS,-41.292309,174.778595,-41.292286,174.77861,SE,NW,2023-10-31,2026-08-05
7481,47934,Manners St crossing,-41.292137,174.778473,-41.292294,174.778717,SW,NE,2023-10-31,2026-08-05
7481,47935,Manners St path RHS,-41.292229,174.778702,-41.292225,174.778748,S,N,2023-10-31,2026-08-05
7481,47936,Manners St road,-41.292339,174.778687,-41.292263,174.778763,SE,NW,2023-10-31,2026-08-05
7481,47937,Dixon St crossing,-41.292408,174.778625,-41.292324,174.778397,NE,SW,2023-10-31,2026-08-05
7483,48021,Taranaki St road Southeastbound,-41.292305,174.778976,-41.292332,174.779053,SW,,2023-10-31,2026-08-05
7483,48022,Taranaki St road Westbound,-41.29229,174.778946,-41.292305,174.778976,SW,,2023-10-31,2026-08-05
7483,48023,Taranaki St road Northbound,-41.292267,174.77887,-41.29229,174.778946,,N,2023-10-31,2026-08-05
7483,48024,Taranaki St crossing,-41.292339,174.779053,-41.292381,174.779037,W,E,2023-10-31,2026-08-05
7483,48025,Courtenay Pl road Eastbound,-41.292442,174.779068,-41.292484,174.779037,,SE,2023-10-31,2026-08-05
7332,48037,Centennial Hwy Southbound,-41.247231,174.813477,-41.247219,174.813339,,S,2023-10-31,2026-08-05
7332,48038,Centennial Hwy road Northbound,-41.247211,174.813293,-41.247189,174.813202,N,,2023-10-31,2026-08-05
7332,48039,Jarden Mile road,-41.24728,174.81308,-41.247211,174.813126,SE,,2023-10-31,2026-08-05
7333,48040,Jarden Mile path RHS,-41.2472,174.813126,-41.247181,174.813187,SE,NW,2023-10-31,2026-08-05
7333,48042,Jarden Mile crossing,-41.247311,174.813126,-41.24728,174.813049,NE,SW,2023-10-31,2026-08-05
7334,48043,Taranaki St road Westbound,-41.29253,174.778702,-41.292511,174.778656,NE,,2023-11-03,2026-08-05
7334,48044,Taranaki St road Northwestbound,-41.292542,174.778732,-41.29253,174.778702,NE,,2023-11-03,2026-08-05
7334,48045,Taranaki St road Northbound,-41.292549,174.778763,-41.292542,174.778732,N,,2023-11-03,2026-08-05
7334,48046,Taranaki St road Eastbound,-41.292549,174.778793,-41.292549,174.778763,N,,2023-11-03,2026-08-05
7334,48047,Taranaki St road Southbound,-41.29258,174.778885,-41.292561,174.778793,,S,2023-11-03,2026-08-05
7335,48049,Taranaki Rd crossing,-41.292561,174.778748,-41.292599,174.778732,W,E,2023-10-31,2026-08-05
7348,48050,Birdwood St road,-41.286732,174.754501,-41.286652,174.754501,E,W,2023-10-31,2026-08-05
7348,48051,Chaytor St road,-41.286613,174.754593,-41.286606,174.754745,S,N,2023-10-31,2026-08-05
7349,48053,Birdwood St crossing,-41.286686,174.754471,-41.286701,174.754562,S,N,2023-10-31,2026-08-05
7349,48054,Birdwood St path RHS,-41.286644,174.754471,-41.286633,174.754471,E,W,2023-10-31,2026-08-05
7349,48055,Chaytor St path LHS,-41.286579,174.754578,-41.286591,174.754608,SW,NE,2023-10-31,2026-08-05
7348,48056,Birdwood St path LHS,-41.286762,174.754501,-41.286739,174.754517,SE,NW,2023-10-31,2026-08-05
7350,48057,Majoribanks St Southwestbound,-41.294048,174.784149,-41.29409,174.784134,W,,2023-10-31,2026-07-06
7350,48058,Majoribanks St Eastbound,-41.29401,174.784164,-41.294041,174.784134,,SE,2023-10-31,2026-07-06
7351,48059,Majoribanks St crossing,-41.294041,174.784149,-41.294022,174.784088,NE,SW,2023-10-31,2026-07-05
7351,48060,Majoribanks St path LHS,-41.29398,174.784195,-41.29401,174.78418,W,E,2023-10-31,2026-07-06
7351,48061,Majoribanks St path RHS,-41.29409,174.784149,-41.294109,174.784134,NW,SE,2023-10-31,2026-07-06
7354,48062,Chaytor St road,-41.286888,174.754837,-41.2869,174.754654,N,S,2023-10-31,2026-08-05
7356,48063,Featherston St road,-41.281181,174.778305,-41.281078,174.778198,NE,SW,2023-10-31,2026-08-05
7356,48064,Whitmore St road,-41.281029,174.778458,-41.2812,174.778336,NW,SE,2023-10-31,2026-08-05
7357,48065,Whitmore St crossing,-41.281158,174.778305,-41.281181,174.778229,N,S,2023-10-31,2026-08-05
7473,48066,Courtenay Pl road Southeastbound,-41.293968,174.7836,-41.293926,174.78363,SE,,2023-10-31,2026-08-05
7473,48067,Courtenay Pl road Southbound,-41.293999,174.783585,-41.293968,174.7836,E,,2023-10-31,2026-08-05
7473,48068,Courtenay Pl road Westbound,-41.294048,174.783554,-41.293999,174.783569,,W,2023-10-31,2026-08-05
7473,48069,Cambridge Ter sideroad,-41.293869,174.783722,-41.293839,174.783691,NE,,2023-10-31,2026-08-05
7474,48072,Courtenay Pl crossing,-41.294022,174.783661,-41.293999,174.7836,NE,SW,2023-10-31,2026-08-05
7473,48073,Cambridge Ter crossing,-41.293919,174.783737,-41.29388,174.783752,E,W,2023-10-31,2026-08-05
7485,48110,Cambridge Ter path LHS,-41.298824,174.780853,-41.298836,174.780899,S,N,2023-10-31,2026-08-05
7485,48111,Cambridge Ter cyclepath,-41.299,174.780975,-41.299011,174.781006,SW,NE,2023-10-31,2026-08-05
7485,48112,Cambridge Ter road,-41.298843,174.780914,-41.298878,174.781036,,N,2023-10-31,2026-08-05
7481,48132,Dixon St path RHS,-41.292309,174.778488,-41.292309,174.778564,S,N,2023-10-31,2026-08-05
7489,48246,Lambton Quay path LHS,-41.286377,174.776123,-41.286366,174.776184,S,N,2023-10-31,2026-08-05
7489,48247,S29 Lambton Quay road,-41.286339,174.776581,-41.286339,174.776596,S,N,2023-10-31,2025-07-30
7489,48248,Willis St crossing,-41.286438,174.776169,-41.286465,174.776169,W,E,2023-10-31,2026-08-05
7489,48294,Customhouse Quay road,-41.286316,174.776245,-41.286385,174.776337,SW,NE,2023-10-31,2026-08-05
7489,48295,S29 Customhouse Quay crossing,-41.286339,174.776581,-41.286331,174.776596,SE,NW,2023-10-31,2025-07-30
7489,48296,Customhouse Quay path RHS,-41.286438,174.776321,-41.286438,174.776367,S,N,2023-10-31,2026-08-05
7491,48297,Riddiford St road,-41.311981,174.779358,-41.312008,174.779205,N,S,2023-10-31,2026-08-05
7491,48298,Rintoul St road,-41.312004,174.779144,-41.311974,174.779022,N,S,2023-10-31,2026-08-05
7493,48299,S31 Emmett St road,-41.31171,174.779388,-41.311722,174.779388,W,E,2023-10-31,2023-11-07
7493,48300,S31 Emmett St crossing,-41.31171,174.779404,-41.31171,174.779404,E,W,2023-10-31,2026-03-12
7493,48301,Riddiford St crossing,-41.311741,174.779251,-41.311771,174.779251,W,E,2023-10-31,2026-08-05
7483,48302,Courtenay Pl road Northbound,-41.292503,174.779037,-41.292522,174.779022,NW,,2023-10-31,2026-08-05
7483,48303,Courtenay Pl road Westbound,-41.292522,174.779022,-41.292553,174.779007,W,,2023-10-31,2026-08-05
7483,48304,Courtenay Pl road Southhbound,-41.292553,174.779007,-41.292583,174.778976,NW,,2023-10-31,2026-08-05
7488,48309,Onepu Rd crossing,-41.318222,174.79631,-41.318264,174.796295,W,E,2023-11-06,2026-08-05
7488,48310,Rongotai Rd path,-41.318241,174.796417,-41.318272,174.796402,W,E,2023-11-06,2026-08-05
7489,48321,Willeston St crossing,-41.286476,174.776291,-41.286499,174.776337,SW,NE,2023-10-31,2026-08-05
7357,48323,Featherston St South crossing,-41.281189,174.778305,-41.281208,174.778275,NW,SE,2023-10-31,2026-08-05
7356,48326,Featherston St crossing,-41.280926,174.778473,-41.280972,174.778442,NW,SE,2023-10-31,2026-08-05
7473,48327,Cambridge Ter road,-41.294155,174.783737,-41.294121,174.783615,N,,2023-10-31,2026-08-05
7346,48342,Hutt Rd road Northbound,-41.260273,174.789597,-41.260235,174.789536,NE,,2023-10-31,2026-08-05
7346,48343,Hutt Rd road Westbound,-41.260227,174.789505,-41.260201,174.789459,NE,,2023-10-31,2026-08-05
7346,48344,Hutt Rd cyclelane,-41.260235,174.789536,-41.260231,174.78952,N,,2023-10-31,2026-08-05
7346,48345,Hutt Rd path,-41.260204,174.789459,-41.260197,174.789444,NE,SW,2023-10-31,2026-08-05
7352,48346,Kaiwharawhara Rd road,-41.260113,174.789612,-41.260021,174.789688,SE,NW,2023-10-31,2026-08-05
7352,48347,Hutt Rd road,-41.260281,174.789734,-41.260246,174.789658,,SW,2023-10-31,2026-08-05
7352,48348,Hutt Rd cyclepath,-41.260201,174.789856,-41.260231,174.789886,SW,NE,2023-10-31,2026-08-05
7493,48800,Riddiford St road LHS,-41.311703,174.779114,-41.311695,174.77919,,N,2023-11-07,2026-08-05
7493,48801,Riddiford St road RHS,-41.311676,174.779175,-41.311668,174.779251,S,,2023-11-07,2026-08-05
7493,48802,Riddiford St path RHS,-41.311638,174.779251,-41.31163,174.779282,S,N,2023-11-08,2026-08-05
7539,48820,Lambton Quay crossing,-41.282242,174.776077,-41.282269,174.776062,NW,SE,2023-11-08,2026-08-05
7539,48821,Lambton Quay road,-41.282276,174.776077,-41.282257,174.77597,,S,2023-11-08,2026-08-05
7539,48822,Lambton Quay path LHS,-41.282299,174.776093,-41.282291,174.776062,N,S,2023-11-08,2026-08-05
7535,48823,Woodward St road,-41.282116,174.775818,-41.282051,174.775833,E,W,2023-11-08,2026-08-05
7535,48824,Lambton Quay path LHS,-41.282043,174.775864,-41.282043,174.77594,S,N,2023-11-08,2026-08-05
7535,48825,Lambton Quay road,-41.282001,174.77597,-41.282005,174.776047,,N,2023-11-08,2026-08-05
7535,48826,Lambton Quay Turning Lane,-41.282116,174.776016,-41.282036,174.776047,,W,2023-11-08,2026-08-05
7537,48828,Tinakori Rd road LHS,-41.271824,174.777527,-41.271797,174.777466,,SW,2023-11-08,2026-08-05
7537,48829,Tinakori Rd road RHS,-41.27179,174.777466,-41.271759,174.77742,NE,,2023-11-08,2026-08-05
7537,48830,Park St road LHS,-41.271725,174.777435,-41.271671,174.777496,,NW,2023-11-08,2026-08-05
7537,48831,Park St road RHS,-41.271664,174.777496,-41.271603,174.777573,SE,,2023-11-08,2026-08-05
7537,48832,Park St path RHS,-41.271591,174.777527,-41.271576,174.777542,SE,NW,2023-11-08,2026-08-05
7537,48833,Tinakori Rd crossing,-41.271599,174.777618,-41.271584,174.777634,SE,NW,2023-11-08,2026-08-05
7538,48834,Park St path LHS,-41.271667,174.777359,-41.271656,174.777374,SE,NW,2023-11-08,2026-08-05
7538,48835,Park St crossing,-41.271706,174.777466,-41.271683,174.777435,NE,SW,2023-11-08,2026-08-05
7517,48872,Featherston St crossing LHS,-41.282982,174.77713,-41.282955,174.777145,SE,NW,2023-11-16,2026-08-05
7517,48873,Johnston St path LHS,-41.282959,174.777084,-41.282917,174.7771,E,W,2023-11-16,2026-08-05
7517,48874,Johnston St road,-41.282932,174.77713,-41.282867,174.777176,SE,,2023-11-16,2026-08-05
7517,48876,Featherston St crossing RHS,-41.282852,174.777206,-41.282825,174.777206,E,W,2023-11-16,2026-08-05
7517,48877,Featherston St road,-41.282871,174.777191,-41.282894,174.777313,S,,2023-11-16,2026-08-05
7518,48884,Johnston St crossing,-41.282871,174.77713,-41.282883,174.777161,SW,NE,2023-11-17,2026-08-05
7518,48885,Johnston St path RHS,-41.282856,174.777145,-41.282825,174.777161,E,W,2023-11-17,2026-08-05
7521,48981,Miramar Ave path LHS,-41.314407,174.811279,-41.31451,174.811264,W,E,2023-11-28,2026-08-05
7522,48985,Shelly Bay Rd road,-41.314453,174.811554,-41.314476,174.81163,S,N,2023-11-28,2026-08-05
7522,48986,Miramar Ave road,-41.314541,174.81131,-41.31464,174.811295,W,E,2023-11-28,2026-08-05
7522,48987,Miramar Ave path RHS,-41.314671,174.811386,-41.314686,174.811371,NW,SE,2023-11-28,2026-08-05
4742,49638,Churchill Dr path LHS,-41.262592,174.763199,-41.262592,174.763214,S,N,2024-01-31,2024-04-03
4742,49639,Churchill Dr road,-41.262585,174.763229,-41.262573,174.763321,S,N,2024-01-31,2024-04-03
4742,49640,Blackbridge Rd road,-41.262589,174.763336,-41.262688,174.763367,W,E,2024-01-31,2024-04-03
4742,49641,Blackbridge Rd slip Road,-41.262497,174.763367,-41.262543,174.763351,,E,2024-01-31,2024-04-03
4742,49642,Blackbridge Rd path LHS,-41.262508,174.763428,-41.262527,174.763412,NW,SE,2024-01-31,2024-04-03
7352,49727,Hutt Rd cycles,-41.26022,174.789825,-41.260258,174.789764,NW,SE,2024-02-16,2026-08-05
7525,49972,Karori Rd path LHS,-41.288692,174.723633,-41.288689,174.723602,N,S,2024-03-08,2026-08-05
7525,49973,Karori Rd road,-41.288696,174.723587,-41.288651,174.723465,NE,SW,2024-03-08,2026-08-05
7525,49974,Karori Rd path RHS,-41.288643,174.72348,-41.288635,174.723434,N,S,2024-03-08,2026-08-05
7526,49975,S Karori Rd road lower,-41.288715,174.723572,-41.288803,174.723404,NW,SE,2024-03-08,2026-08-05
7526,49976,S Karori Rd road upper,-41.288826,174.723373,-41.28886,174.723267,NW,SE,2024-03-08,2026-08-05
7526,49977,Allington Rd crossing,-41.288872,174.723145,-41.288883,174.723114,NW,SE,2024-03-08,2026-08-05
7526,49978,S Karori Rd road,-41.288769,174.72348,-41.288704,174.723389,NE,SW,2024-03-08,2026-08-05
7526,49979,S Karori Rd crossing lower,-41.288776,174.723511,-41.288761,174.723495,NE,SW,2024-03-08,2026-08-05
7527,49983,Karori Rd road,-41.281872,174.747772,-41.281796,174.747742,E,W,2024-03-11,2026-08-05
7527,49984,Karori Rd path RHS,-41.281788,174.747742,-41.281773,174.747726,NE,SW,2024-03-11,2026-08-05
7527,49985,Karori Rd road RHS,-41.281742,174.747971,-41.281788,174.747757,N,S,2024-03-11,2026-08-05
7533,50005,Karori Rd road LHS,-41.282642,174.74472,-41.2826,174.744873,S,N,2024-03-08,2026-08-05
7533,50006,Karori Rd crossing,-41.282578,174.744766,-41.282612,174.744781,W,E,2024-03-08,2026-08-05
7533,50007,Karori Rd road,-41.282619,174.744797,-41.282703,174.744827,W,E,2024-03-08,2026-08-05
7533,50009,Karori Rd path RHS,-41.282711,174.744827,-41.282738,174.744827,W,E,2024-03-09,2026-08-05
3570,50116,Ghuznee St path LHS,-41.292332,174.772644,-41.29232,174.772659,SE,NW,2024-03-20,2026-08-05
3570,50117,Ghuznee St road outbound,-41.292309,174.772659,-41.292278,174.772675,E,W,2024-03-20,2026-08-05
3570,50118,Ghuznee St road inbound LHS,-41.292248,174.772598,-41.292225,174.772614,SE,NW,2024-03-20,2026-08-05
3570,50119,Ghuznee St road inbound RHS,-41.292229,174.772629,-41.29221,174.772644,SE,NW,2024-03-20,2026-08-05
3570,50120,Ghuznee St path RHS,-41.292206,174.772644,-41.292191,174.772659,SE,NW,2024-03-20,2026-08-05
3579,50129,Taranaki St path LHS,-41.298229,174.775482,-41.298241,174.775513,SW,NE,2024-03-20,2026-08-05
3579,50130,Taranaki St road LHS,-41.298187,174.775528,-41.298191,174.775574,,N,2024-03-20,2026-08-05
3579,50131,Taranaki St road RHS,-41.298191,174.775574,-41.298203,174.775604,,NE,2024-03-20,2026-08-05
3217,50132,Elizabeth St path LHS,-41.2957,174.783325,-41.295723,174.78331,NW,SE,2024-03-20,2026-08-05
3217,50133,Elizabeth St road,-41.295746,174.783371,-41.29586,174.783325,W,E,2024-03-20,2026-08-05
3217,50134,Elizabeth St path RHS,-41.295849,174.783279,-41.295876,174.783264,NW,SE,2024-03-20,2026-08-05
3347,50140,Boulcott St road Outbound,-41.285309,174.772507,-41.285305,174.772461,,S,2024-03-21,2026-08-05
3347,50141,Boulcott St road Inbound LHS,-41.285309,174.772446,-41.285305,174.7724,N,,2024-03-20,2026-08-05
3347,50142,Boulcott St road Inbound RHS,-41.285301,174.7724,-41.285294,174.772369,N,,2024-03-20,2026-08-05
3347,50143,Boulcott St path RHS,-41.285255,174.772385,-41.285248,174.772354,N,S,2024-03-20,2026-08-05
3192,50144,Bowen St path LHSRamp,-41.278805,174.769485,-41.278812,174.76947,NW,SE,2024-03-21,2026-08-05
3192,50145,Bowen St path LHS,-41.278816,174.769485,-41.278828,174.76947,NW,SE,2024-03-21,2026-08-05
3192,50146,Bowen St road Outbound,-41.278839,174.769455,-41.2789,174.769424,,E,2024-03-21,2026-08-05
3192,50147,Bowen St road Inbound LHS,-41.278896,174.769424,-41.278923,174.769409,NW,,2024-03-21,2026-08-05
3192,50148,Bowen St road Inbound RHS,-41.278923,174.769394,-41.278946,174.769379,NW,,2024-03-21,2026-08-05
3193,50149,Bowen St cyclepath,-41.278992,174.76947,-41.279003,174.769455,NW,SE,2024-03-21,2026-08-05
3416,50152,Waterloo Quay path LHS,-41.279907,174.780502,-41.279919,174.780533,SW,NE,2024-03-21,2026-08-05
